Nr;Mag;KBN;Nazwa art. 1;Nr fabr;Nazwa art. 2;StanDost;Wart;OstRez;Dost;NrProc;Suf;Poz;TOK;CDS;MA Erf.;
521;130;BX33ZU20CS;HYDRANT ZAWIESZANY FI33 L=20 CZERWONY;33H800BZ20CZSMUKLY;PATENT UNIWERSALNY 800x800x300 SMUKŁY;13.000;;1160901;BOPI01;14233444;1;1000;STE;SCE;03513;
522;130;CN33K400600;GRZEJNIK COSMO 33K 400x 600 (1162W);F1E3304006010000;PŁYTOWY;2.000;;1140130;VNWA01;13433434;1;5000;SXC;SCC;03748;
523;130;BRXB7646363;RURA POWROTNA DO WHBS 14 I 22 C;7646363;;1.000;;1151105;BRRA01;14153332;1;1000;TMP;TMP;03647;
524;130;BRXB7646365;RURA POWROTNA DO WHBC 22/24 C;7646365;;2.000;;1151105;BRRA01;14153332;1;2000;TMP;TMP;03647;
525;130;DXKDFFK45100;KOLANO DWUKOŁNIERZOWE FFK 45° DN100;905FFK45100;;2.000;;1160226;DODZ01;14182030;1;51000;SH2;SHA;03630;
526;130;DXZFFR100050;ZWĘŻKA FFR 100x50;911FFR100050;;1.000;;1160226;DODZ01;14182030;1;56000;SH2;SHA;03630;
527;130;*DRCE;PÓŁKA CERAMICZNA DURAPLUS 59x14,5 BIAŁY;;W-GL.;1.000;;1161025;DUHO01;14233662;1;1000;GR4;GR4;03332;
528;130;CN33K3001800;GRZEJNIK COSMO 33K 300x1800 (2810W);F1E3303018010000;PŁYTOWY;1.000;;1160805;VNWA01;14224822;1;35000;STE;SCE;03675;
529;130;ELGD09RN;KLIMATYZATOR LG DELUXE .J.W+J.Z;ELGD09RN;D09RN.NSJ+D09RN.UL2 QCH.2.5 /QGRZ. 3.2KW;1.000;;1160727;LGWR01;14205820;1;1000;STA;SCA;03532;
530;130;#RCCE6;ZESTAW ŁAZIENKOWY DEBBA UNIK COMPACTO;;Z 2 SZUFL. WENGE TEKSTURA  60CM;1.000;;1140625;ROGW02;14009208;1;84000;TMP;TMP;03534;
